record_id,dataset_name,sampling_rate,time_resolution_ms,duration_seconds,num_leads,lead_names,annotation_source,has_manual_t_end,adc_gain,adc_resolution_bits,uv_per_lsb,pipeline_version,processing_timestamp
ptbxl/00001,ptbxl,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,1000.0,,4.88,1.0.0,2026-06-13T05:04:22.604103
ptbxl/00002,ptbxl,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,4880.0,16.0,,1.0.0,2026-06-13T05:04:22.604103
ptbxl/00003,ptbxl,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,1000.0,,2.44,1.0.0,2026-06-13T05:04:22.604103
ptbxl/00004,ptbxl,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,1000.0,16.0,,1.0.0,2026-06-13T05:04:22.604103
ptbxl/00005,ptbxl,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,,,,1.0.0,2026-06-13T05:04:22.604103
ptbxl/00006,ptbxl,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,,16.0,2.44,1.0.0,2026-06-13T05:04:22.604103
ptbxl/00007,ptbxl,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,,16.0,4.88,1.0.0,2026-06-13T05:04:22.604103
ptbxl/00008,ptbxl,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,4880.0,12.0,,1.0.0,2026-06-13T05:04:22.604103
ptbxl/00009,ptbxl,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,,16.0,4.88,1.0.0,2026-06-13T05:04:22.604103
ptbxl/00010,ptbxl,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,,16.0,4.88,1.0.0,2026-06-13T05:04:22.604103
ptbxl/00011,ptbxl,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,4880.0,12.0,2.44,1.0.0,2026-06-13T05:04:22.604103
ptbxl/00012,ptbxl,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,4880.0,,2.44,1.0.0,2026-06-13T05:04:22.604103
ptbxl/00013,ptbxl,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,,,2.44,1.0.0,2026-06-13T05:04:22.604103
ptbxl/00014,ptbxl,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,4880.0,12.0,,1.0.0,2026-06-13T05:04:22.604103
ptbxl/00015,ptbxl,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,,16.0,2.44,1.0.0,2026-06-13T05:04:22.604103
ptbxl/00016,ptbxl,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,,16.0,,1.0.0,2026-06-13T05:04:22.604103
ptbxl/00017,ptbxl,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,,,,1.0.0,2026-06-13T05:04:22.604103
ptbxl/00018,ptbxl,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,1000.0,16.0,4.88,1.0.0,2026-06-13T05:04:22.604103
ptbxl/00019,ptbxl,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,4880.0,12.0,4.88,1.0.0,2026-06-13T05:04:22.604103
ptbxl/00020,ptbxl,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,1000.0,,,1.0.0,2026-06-13T05:04:22.604103
ptbxl/00021,ptbxl,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,,,4.88,1.0.0,2026-06-13T05:04:22.604103
ptbxl/00022,ptbxl,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,,16.0,2.44,1.0.0,2026-06-13T05:04:22.604103
ptbxl/00023,ptbxl,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,,16.0,2.44,1.0.0,2026-06-13T05:04:22.604103
ptbxl/00024,ptbxl,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,4880.0,,2.44,1.0.0,2026-06-13T05:04:22.604103
ptbxl/00025,ptbxl,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,4880.0,12.0,,1.0.0,2026-06-13T05:04:22.604103
ptbxl/00026,ptbxl,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,4880.0,12.0,2.44,1.0.0,2026-06-13T05:04:22.604103
ptbxl/00027,ptbxl,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,4880.0,,,1.0.0,2026-06-13T05:04:22.604103
ptbxl/00028,ptbxl,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,4880.0,12.0,,1.0.0,2026-06-13T05:04:22.604103
ptbxl/00029,ptbxl,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,4880.0,,2.44,1.0.0,2026-06-13T05:04:22.604103
ptbxl/00030,ptbxl,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,1000.0,,,1.0.0,2026-06-13T05:04:22.604103
ptbxl/00031,ptbxl,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,4880.0,,,1.0.0,2026-06-13T05:04:22.604103
ptbxl/00032,ptbxl,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,4880.0,,2.44,1.0.0,2026-06-13T05:04:22.604103
